compl to simpl,same,deletion (no of words),passive/active change,NP/VP change,insertion (no of words),time shift to end of sentence,infixion without reference,ADVP subst,PP subst,VP subst,Adj gradation,NP subst,AdjP to N Degree,NP / PP switch
tree 1,x,,,,,,,,,,,,,
tree 2,,,1,,,,,,,,,,,
tree 3,,1,,1,,,,,,,,,,
tree4,,,1,,,,,,,,,,,
tree5,,3,,1,2,,,,,,,,,
tree6,,5+2+2,,,3+1,1,,,,,,,,
tree7,,5,,,3,,4,,,,,,,
tree8,,2,,,,,,1,1,1,,,,
tree9,,9,,,2,,,,,1+1,,,,
tree10,,3+5,,,2,,,,,1,1,,,
tree11,,,,,,,4+5,,,,,1+1,,1
tree12,x,,,,,,,,,,,,,
tree13,,,,,,,,,,,,1,,
tree14,,,,,,,,,,,,1,,
tree15,,,,,,,,,,,,1,,
tree16,x,,,,,,,,,,,,,
tree17,,4,,,2,,,,,1,,,,
tree18,,11,,,,,,,,,,,,
tree19,,6,,,,,,,,,,1 (2),,
tree20,,12,,,1,,,,,,,,1,
